"date","close","volume","open","high","low"
"2017/06/29","26.9900","53492.0000","26.7800","26.9900","26.6850"
"2017/06/28","26.8500","31061.0000","26.8800","26.9700","26.7600"
"2017/06/27","26.7900","41159.0000","26.6700","26.9561","26.6700"
"2017/06/26","26.8200","124806.0000","26.6400","26.9300","26.6100"
"2017/06/23","26.6300","185597.0000","26.6400","26.7100","26.4000"
"2017/06/22","26.5500","29699.0000","26.5900","26.7100","26.4200"
"2017/06/21","26.5600","81944.0000","26.7800","26.8400","26.4900"
"2017/06/20","26.7600","58305.0000","26.8000","27.1640","26.6100"
"2017/06/19","26.8800","83138.0000","26.9900","27.1400","26.8000"
"2017/06/16","26.9200","104702.0000","26.7700","27.0100","26.7700"
"2017/06/15","27.0000","88710.0000","26.6800","27.1200","26.6800"
"2017/06/14","26.8900","111190.0000","26.8800","27.0900","26.7400"
"2017/06/13","26.8900","127111.0000","26.7800","27.0400","26.6500"
"2017/06/12","26.7400","109921.0000","26.5300","26.8400","26.5300"
"2017/06/09","26.5600","83283.0000","26.3500","26.6900","26.3500"
"2017/06/08","26.4100","63529.0000","26.3600","26.5600","26.1400"
"2017/06/07","26.2300","52917.0000","26.4300","26.4300","26.1000"
"2017/06/06","26.5300","73201.0000","26.6700","26.6800","26.4350"
"2017/06/05","26.7300","54179.0000","26.9000","26.9300","26.5900"
"2017/06/02","26.9100","81057.0000","26.6300","27.3800","26.6300"
"2017/06/01","26.6300","64548.0000","26.4800","26.6500","26.2400"
"2017/05/31","26.2900","94799.0000","26.4300","26.4900","25.9300"
"2017/05/30","26.3200","150923.0000","26.2900","26.4400","25.9200"
"2017/05/26","26.2200","81126.0000","26.1000","26.3600","25.7800"
"2017/05/25","26.0900","50156.0000","26.2600","26.2800","25.9950"
"2017/05/24","26.1100","41000.0000","26.1300","26.2100","25.9100"
"2017/05/23","26.1300","51178.0000","26.2500","26.2500","25.9800"
"2017/05/22","26.1400","72679.0000","26.1000","26.2600","25.8900"
"2017/05/19","26.0800","112526.0000","25.6600","26.4200","25.5327"
"2017/05/18","25.6100","136455.0000","25.6200","25.8200","25.2700"
"2017/05/17","25.5600","107197.0000","25.8600","26.0000","25.4100"
"2017/05/16","26.1700","128650.0000","26.4500","26.5300","25.9800"
"2017/05/15","26.4900","107738.0000","26.8000","27.1400","26.4700"
"2017/05/12","26.7100","55988.0000","26.8500","27.0200","26.6900"
"2017/05/11","26.9700","54769.0000","27.0700","27.1600","26.6301"
"2017/05/10","27.2600","70300.0000","27.1700","27.5900","27.1150"
"2017/05/09","27.2600","73754.0000","27.1000","27.3999","26.9900"
"2017/05/08","26.9800","53227.0000","27.2400","27.2600","26.8600"
"2017/05/05","27.2500","93761.0000","27.4700","27.4700","26.9222"
"2017/05/04","27.2400","73622.0000","27.2900","27.3200","26.9700"
"2017/05/03","27.2600","113420.0000","27.5900","27.5900","27.1400"
"2017/05/02","27.5800","63887.0000","27.4700","28.0700","27.4100"
"2017/05/01","27.3200","40055.0000","27.3300","27.5600","27.1750"
"2017/04/28","27.3500","97058.0000","27.2700","27.7500","27.2400"
"2017/04/27","27.1600","228063.0000","28.1200","28.3900","27.0100"
"2017/04/26","28.8200","154127.0000","28.5700","28.9600","28.3200"
"2017/04/25","28.5800","66409.0000","28.4600","28.8200","28.3036"
"2017/04/24","28.1500","220252.0000","27.7600","28.1700","27.6400"
"2017/04/21","27.6400","69577.0000","27.5700","27.7100","27.4650"
"2017/04/20","27.5800","93240.0000","27.4700","27.6100","27.3300"
"2017/04/19","27.4100","43771.0000","27.5000","27.6000","27.2701"
"2017/04/18","27.4200","41472.0000","27.4100","27.4200","27.0800"
"2017/04/17","27.4900","56958.0000","27.0100","27.5100","27.0100"
"2017/04/13","27.0600","52324.0000","27.1500","27.3700","27.0000"
"2017/04/12","27.3000","105352.0000","27.7000","27.7350","27.2900"
"2017/04/11","27.7400","142523.0000","27.0300","27.7400","27.0200"
"2017/04/10","27.0900","78261.0000","26.9600","27.4500","26.9600"
"2017/04/07","26.8600","164667.0000","26.2200","27.1000","26.0600"
"2017/04/06","26.3200","125836.0000","26.2800","26.4800","26.0800"
"2017/04/05","26.3200","78144.0000","26.4900","26.6100","26.2600"
"2017/04/04","26.4100","74702.0000","26.8200","26.8200","26.2900"
"2017/04/03","26.7600","69802.0000","27.0400","27.1300","26.7200"
"2017/03/31","27.1200","109356.0000","27.0000","27.2200","26.9500"
"2017/03/30","27.0400","79228.0000","27.0800","27.3000","26.8500"
"2017/03/29","27.0800","77608.0000","26.9000","27.2000","26.7300"
